Tahun,Persentase Pengangguran
8-Jan-2010,7.14
8-Jan-2011,7.48
8-Jan-2012,6.13
8-Jan-2013,6.17
8-Jan-2014,5.94
8-Jan-2015,6.18
8-Jan-2016,5.61
8-Jan-2017,5.5
8-Jan-2018,5.3
8-Jan-2019,5.23
8-Jan-2020,7.07
8-Jan-2021,6.94
