Tahun,Persentase Pengangguran
2010,7.14
2011,7.48
2012,6.13
2013,6.17
2014,5.94
2015,6.18
2016,5.61
2017,5.5
2018,5.3
2019,5.23
2020,7.07
2021,6.94
